都道府県,市区町村,避難所名,住所,緯度,経度,避難所,一時避難所,広域避難所,地震,風水害,津波,収容人数,備蓄品,備考
佐賀県,唐津市,湊公民館,佐賀県唐津市湊町369-1,33.5263906,129.952709,1,0,0,-,-,-,,,
佐賀県,唐津市,松島老人憩の家,佐賀県唐津市鎮西町松島3-3,33.5869880,129.839213,1,0,0,-,-,-,,,
佐賀県,唐津市,肥前町福祉センター老人憩いの家,佐賀県唐津市肥前町田野甲1287番地10,33.4226023,129.831483,1,0,0,-,-,-,,,
佐賀県,佐賀市,小中一貫校芙蓉校,佐賀県佐賀市蓮池町小松1000,33.2504075,130.365027,1,0,0,-,-,-,481人,,２次避難所、標高（ｍ）：3.7
佐賀県,佐賀市,久保田老人福祉ｾﾝﾀｰ,佐賀県佐賀市久保田町新田3323,33.2324732,130.236755,1,0,0,-,-,-,85人,,２次避難所、標高（ｍ）：2.4
佐賀県,佐賀市,ｽﾎﾟｰﾂﾊﾟｰｸ川副武道館,佐賀県佐賀市川副町鹿江700,33.1921229,130.318304,1,0,0,-,-,-,774人,,３次避難所、標高（ｍ）：2.7
佐賀県,唐津市,伊岐佐小学校,佐賀県唐津市相知町伊岐佐甲60,33.3647302,130.011727,1,0,0,-,-,-,,,
佐賀県,佐賀市,勧興公民館,佐賀県佐賀市成章町3-18,33.2557052,130.297554,1,0,0,-,-,-,90人,,１次避難所、標高（ｍ）：3.6
佐賀県,唐津市,湊中学校,佐賀県唐津市湊町594,33.5281682,129.952269,1,0,0,-,-,-,,,
佐賀県,佐賀市,西川副公民館,佐賀県佐賀市川副町西古賀260-1,33.2106934,130.31202,1,0,0,-,-,-,193人,,１次避難所、標高（ｍ）：2.8
佐賀県,唐津市,国民宿舎呼子ロッジ,佐賀県唐津市呼子町呼子1413,33.5484643,129.897096,1,0,0,-,-,-,,,
佐賀県,唐津市,呼子小学校,佐賀県唐津市呼子町呼子3000-1,33.5414761,129.897688,1,0,0,-,-,-,,,
佐賀県,佐賀市,川上小学校,佐賀県佐賀市大和町東山田1807-1,33.3053588,130.254251,1,0,0,-,-,-,403人,,２次避難所、標高（ｍ）：12.3
佐賀県,唐津市,北波多小学校,佐賀県唐津市北波多徳須恵416,33.3781929,129.950893,1,0,0,-,-,-,,,
佐賀県,佐賀市,北川副公民館,佐賀県佐賀市木原3-12-8,33.2393137,130.323338,1,0,0,-,-,-,133人,,１次避難所、標高（ｍ）：3.6
佐賀県,佐賀市,川副中学校,佐賀県佐賀市川副町鹿江710,33.195024,130.31837,1,0,0,-,-,-,1212人,,２次避難所、標高（ｍ）：2.8
佐賀県,佐賀市,川副児童館,佐賀県佐賀市川副町鹿江442,33.1928264,130.321304,1,0,0,-,-,-,115人,,３次避難所、標高（ｍ）：2.7
佐賀県,佐賀市,小中一貫校松梅校,佐賀県佐賀市大和町松瀬2090-1,33.366028,130.260246,1,0,0,-,-,-,348人,,１次避難所、標高（ｍ）：84.8
佐賀県,唐津市,納所小学校,佐賀県唐津市肥前町納所丁682番地,33.4691952,129.814729,1,0,0,-,-,-,,,
佐賀県,唐津市,第五中学校,佐賀県唐津市和多田用尺1-1,33.4408281,129.981748,1,0,0,-,-,-,,,
佐賀県,佐賀市,昭栄中学校,佐賀県佐賀市昭栄町1-7,33.249038,130.27995,1,0,0,-,-,-,495人,,２次避難所、標高（ｍ）：3.7
佐賀県,唐津市,旧厳木小学校平之分校,佐賀県唐津市厳木町平之705-1,33.3472150,130.076250,1,0,0,-,-,-,,,
佐賀県,佐賀市,佐賀導水操作室(東名縄文館),佐賀県佐賀市金立町千布　地先,33.2944,130.306057,1,0,0,-,-,-,130人,,３次避難所、標高（ｍ）：6.7
佐賀県,唐津市,星賀わんぱくハウス,佐賀県唐津市肥前町星賀乙2072番地,33.4518969,129.795392,1,0,0,-,-,-,,,
佐賀県,唐津市,小川島漁村センター,佐賀県唐津市呼子町小川島２２７?１,33.5955766,129.899243,1,0,0,-,-,-,,,
佐賀県,佐賀市,循誘小学校,佐賀県佐賀市高木町15-30,33.2567996,130.308037,1,0,0,-,-,-,454人,,２次避難所、標高（ｍ）：3.4
佐賀県,唐津市,浜崎小学校,佐賀県唐津市浜玉町浜崎451,33.4438736,130.040840,1,0,0,-,-,-,,,
佐賀県,唐津市,早稲田佐賀中学・高等学校,佐賀県唐津市東城内7-1,33.4530806,129.977130,1,0,0,-,-,-,,,
佐賀県,佐賀市,金立小学校,佐賀県佐賀市金立町千布2144-1,33.3090055,130.302566,1,0,0,-,-,-,281人,,２次避難所、標高（ｍ）：8.9
佐賀県,唐津市,鏡中学校,佐賀県唐津市鏡1136,33.4252662,130.006822,1,0,0,-,-,-,,,
佐賀県,佐賀市,開成公民館,佐賀県佐賀市鍋島町森田27-4,33.2680977,130.270486,1,0,0,-,-,-,104人,,１次避難所、標高（ｍ）：4.7
佐賀県,佐賀市,西与賀小学校,佐賀県佐賀市西与賀町厘外1437,33.2292892,130.273681,1,0,0,-,-,-,308人,,２次避難所、標高（ｍ）：2.9
佐賀県,唐津市,旧切木中学校,佐賀県唐津市肥前町切木乙500番地1,33.4286230,129.883332,1,0,0,-,-,-,,,
佐賀県,佐賀市,若楠小学校,佐賀県佐賀市若宮3-2-1,33.2757331,130.28655,1,0,0,-,-,-,405人,,２次避難所、標高（ｍ）：5.3
